"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 20 17:01:09 UTC 2026","Tue Jan 20 17:01:10 UTC 2026","862","UI Tests Suite","UI Tests","tests.ui.CheckoutFlowTests","tests.ui.CheckoutFlowTests","completeCheckoutFlowTest","Complete Checkout Flow E2E",""
"passed","Tue Jan 20 17:01:08 UTC 2026","Tue Jan 20 17:01:08 UTC 2026","212","UI Tests Suite","UI Tests","tests.ui.LoginTest","tests.ui.LoginTest","loginTestDDT","Login with multiple datasets from Excel",""
"passed","Tue Jan 20 17:01:09 UTC 2026","Tue Jan 20 17:01:09 UTC 2026","216","UI Tests Suite","UI Tests","tests.ui.LoginTest","tests.ui.LoginTest","loginTestDDT","Login with multiple datasets from Excel",""
"passed","Tue Jan 20 17:01:07 UTC 2026","Tue Jan 20 17:01:07 UTC 2026","548","UI Tests Suite","UI Tests","tests.ui.LoginTest","tests.ui.LoginTest","loginTestDDT","Login with multiple datasets from Excel",""
